Date,Open,High,Low,Close,Adj Close,Volume
2000-05-19,142.65625,142.65625,140.25,140.6875,88.334976,775500
2000-05-22,140.59375,140.59375,136.8125,139.8125,87.785637,1850600
2000-05-23,140.21875,140.21875,137.6875,137.6875,86.451324,373900
2000-05-24,137.75,140.0625,136.65625,139.75,87.746323,400300
2000-05-25,140.03125,140.9375,137.875,138.46875,86.941849,69600
2000-05-26,138.484375,138.75,137,137.84375,86.549469,237000
2000-05-30,139.28125,142.4375,139.28125,142.375,89.394493,118100
2000-05-31,141.875,143.625,141.875,142.78125,89.649612,216900
2000-06-01,143.90625,145.0625,143.625,145.0625,91.081993,128700
2000-06-02,148.3125,148.78125,147.46875,147.9375,92.887108,108400
2000-06-05,147,147.65625,146.6875,146.96875,92.278885,192100
2000-06-06,146.4375,147.1875,145.6875,146.21875,91.807953,209300
2000-06-07,146.21875,147.5,145.65625,147.1875,92.416161,85400
2000-06-08,147.8125,147.8125,145.9375,146.65625,92.082657,248400
2000-06-09,147.515625,147.515625,145.875,146.125,91.749077,20200
2000-06-12,146.625,146.625,144.859375,144.859375,90.954445,17600
2000-06-13,145,147.25,144.5,146.75,92.141495,40300
2000-06-14,147.75,148.375,147.125,147.65625,92.710556,353900
2000-06-15,147.6875,148.25,146.609375,147.65625,92.710556,338500
2000-06-16,148.625,148.625,146.46875,147.0625,92.3377,855900
2000-06-19,146.5625,149.03125,146.5,148.515625,93.250092,160000
2000-06-20,148.625,148.640625,147.296875,147.703125,92.739952,182600
2000-06-21,146.875,148.15625,146.875,147.859375,92.912926,137500
2000-06-22,147.4375,147.4375,145,145.4375,91.391045,182900
2000-06-23,145.5,145.875,144,144.390625,90.733238,238200
2000-06-26,145.03125,146.0625,144.8125,146.0625,91.783798,26000
2000-06-27,145.8125,146.296875,145.25,145.25,91.273224,40900
2000-06-28,145.3125,146.90625,145.3125,145.921875,91.695366,51200
2000-06-29,144.640625,145.25,143.5625,144.15625,90.585938,48500
2000-06-30,143.984375,145.484375,143.984375,145.484375,91.420517,16800
2000-07-03,145.5,147.140625,145.46875,147.140625,92.461288,7100
2000-07-05,146.265625,146.359375,144.625,145.09375,91.175056,27400
2000-07-06,144.875,146.125,144.21875,145.8125,91.626671,40100
2000-07-07,146.375,148.5,146.375,147.96875,92.981621,65500
2000-07-10,147.65625,148.65625,147.65625,147.71875,92.824539,77500
2000-07-11,147.25,149,147.25,148.28125,93.177994,40700
2000-07-12,149.25,149.9375,148.875,149.09375,93.688591,2642100
2000-07-13,149.71875,150.28125,149.140625,149.59375,94.002815,971600
2000-07-14,150.25,151.125,149.8125,150.984375,94.876633,158800
2000-07-17,150.734375,151.90625,150.59375,150.890625,94.817772,430100
2000-07-18,150.46875,150.5,149.375,149.8125,94.140266,763600
2000-07-19,149.34375,149.578125,148.40625,148.40625,93.256584,120000
